bfs_number,german,french,italian,english,coat_of_arms
0211,Altikon,Altikon,Altikon,Altikon,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Altikon-blazon.svg/120px-Altikon-blazon.svg.png
1123,Altishofen,Altishofen,Altishofen,Altishofen,http://upload.wikimedia.org/wikipedia/commons/b/b9/Pic_Altishofen.png
4641,Altnau,Altnau,Altnau,Altnau,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Altnau.jpg/120px-Altnau.jpg
5237,Alto Malcantone,Alto Malcantone,Alto Malcantone,Alto Malcantone,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/AltoMalcantone-coat_of_arms.svg/120px-AltoMalcantone-coat_of_arms.svg.png
3251,Altstätten,Altstätten,Altstätten,Altstätten,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Wappen_Altstaetten.svg/120px-Wappen_Altstaetten.svg.png
1022,Altwis,Altwis,Altwis,Altwis,http://upload.wikimedia.org/wikipedia/commons/9/9d/Pic_Altwis.png
3511,Alvaneu,Alvaneu,Alvaneu,Alvaneu,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Alvaneu_wappen.svg/120px-Alvaneu_wappen.svg.png
3501,Alvaschein,Alvaschein,Alvaschein,Alvaschein,http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Alvaschein_wappen.svg/120px-Alvaschein_wappen.svg.png
3311,Amden,Amden,Amden,Amden,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Amden_SG_flago.png/120px-Amden_SG_flago.png
4881,Amlikon-Bissegg,Amlikon-Bissegg,Amlikon-Bissegg,Amlikon-Bissegg,http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Amlikon_Bissegg_Blazono.png/120px-Amlikon_Bissegg_Blazono.png
4191,Ammerswil,Ammerswil,Ammerswil,Ammerswil,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Wappen_Ammerswil.svg/120px-Wappen_Ammerswil.svg.png
